Date,Price,Log Price,Log Difference
07/31/2009,987.5,6.895176497,0.000709112
07/30/2009,986.8,6.894467385,0.011927355
07/29/2009,975.1,6.88254003,-0.004604295
07/28/2009,979.6,6.887144325,-0.002650629
07/27/2009,982.2,6.889794954,0.002956923
07/24/2009,979.3,6.886838031,0.003068114
07/23/2009,976.3,6.883769916,0.023001428
07/22/2009,954.1,6.860768488,-0.000523917
07/21/2009,954.6,6.861292405,0.003673195
07/20/2009,951.1,6.857619209,0.011313893
07/17/2009,940.4,6.846305317,-0.000318962
07/16/2009,940.7,6.846624279,0.008540673
07/15/2009,932.7,6.838083606,0.029265075
07/14/2009,905.8,6.808818531,0.005313274
07/13/2009,901,6.803505258,0.024606601
07/10/2009,879.1,6.778898657,-0.004086735
07/09/2009,882.7,6.782985392,0.003518133
07/08/2009,879.6,6.779467259,-0.001590367
07/07/2009,881,6.781057626,-0.019891649
07/06/2009,898.7,6.800949275,0.002562533
07/02/2009,896.4,6.798386742,-0.029567467
07/01/2009,923.3,6.827954209,0.004341698
06/30/2009,919.3,6.823612511,-0.008556781
06/29/2009,927.2,6.832169292,0.00899199
06/26/2009,918.9,6.823177303,-0.001522401
06/25/2009,920.3,6.824699704,0.02130544
06/24/2009,900.9,6.803394264,0.00645882
06/23/2009,895.1,6.796935444,0.002348863
06/22/2009,893,6.794586581,-0.031090587
06/19/2009,921.2,6.825677168,0.003044142
06/18/2009,918.4,6.822633026,0.008419491
06/17/2009,910.7,6.814213535,-0.001426456
06/16/2009,912,6.81563999,-0.012747354
06/15/2009,923.7,6.828387344,-0.02406662
06/12/2009,946.2,6.852453963,0.001374861
06/11/2009,944.9,6.851079102,0.006157132
06/10/2009,939.1,6.84492197,-0.003507843
06/09/2009,942.4,6.848429813,0.003507843
06/08/2009,939.1,6.84492197,-0.001064283
06/05/2009,940.1,6.845986253,-0.002549667
06/04/2009,942.5,6.848535919,0.01141772
06/03/2009,931.8,6.837118199,-0.013749217
06/02/2009,944.7,6.850867417,0.001907184
06/01/2009,942.9,6.848960232,0.025565302
05/29/2009,919.1,6.82339493,0.013473012
05/28/2009,906.8,6.809921919,0.015223362
05/27/2009,893.1,6.794698557,-0.019075659
05/26/2009,910.3,6.813774216,0.025929233
05/22/2009,887,6.787844982,-0.001464541
05/21/2009,888.3,6.789309524,-0.016966586
05/20/2009,903.5,6.80627611,-0.005078395
05/19/2009,908.1,6.811354505,-0.00176037
05/18/2009,909.7,6.813114875,0.029902931
05/15/2009,882.9,6.783211944,-0.011486613
05/14/2009,893.1,6.794698557,0.010354623
05/13/2009,883.9,6.784343934,-0.027340876
05/12/2009,908.4,6.81168481,-0.000880282
05/11/2009,909.2,6.812565092,-0.021758909
05/08/2009,929.2,6.834324001,0.023740634
05/07/2009,907.4,6.810583367,-0.013246677
05/06/2009,919.5,6.823830044,0.017221947
05/05/2009,903.8,6.806608097,-0.003754836
05/04/2009,907.2,6.810362933,0.033285978
05/01/2009,877.5,6.777076955,0.005370521
04/30/2009,872.8,6.771706435,-0.00091617
04/29/2009,873.6,6.772622605,0.021287245
04/28/2009,855.2,6.75133536,-0.002685819
04/27/2009,857.5,6.754021179,-0.01009465
04/24/2009,866.2,6.764115829,0.01664668
04/23/2009,851.9,6.747469149,0.009909247
04/22/2009,843.5,6.737559902,-0.007794088
04/21/2009,850.1,6.74535399,0.021040895
04/20/2009,832.4,6.724313095,-0.043720241
04/17/2009,869.6,6.768033336,0.004957068
04/16/2009,865.3,6.763076268,0.015372377
04/15/2009,852.1,6.747703891,0.012517877
04/14/2009,841.5,6.735186014,-0.020233604
04/13/2009,858.7,6.755419618,0.002448552
04/09/2009,856.6,6.752971065,0.037345284
04/08/2009,825.2,6.715625781,0.011824359
04/07/2009,815.5,6.703801422,-0.024228926
04/06/2009,835.5,6.728030348,-0.008343314
04/03/2009,842.5,6.736373662,0.009660759
04/02/2009,834.4,6.726712904,0.028321553
04/01/2009,811.1,6.698391351,0.016408075
03/31/2009,797.9,6.681983276,0.013119906
03/30/2009,787.5,6.668863371,-0.035428428
03/27/2009,815.9,6.704291798,-0.020621789
03/26/2009,832.9,6.724913587,0.023076079
03/25/2009,813.9,6.701837508,0.009629704
03/24/2009,806.1,6.692207804,-0.020626882
03/23/2009,822.9,6.712834687,0.068394124
03/20/2009,768.5,6.644440563,-0.019968457
03/19/2009,784,6.66440902,-0.013178092
03/18/2009,794.4,6.677587113,0.020732062
03/17/2009,778.1,6.656855051,0.031595317
03/16/2009,753.9,6.625259733,-0.0034428
03/13/2009,756.5,6.628702533,0.007696429
03/12/2009,750.7,6.621006105,0.039812336
03/11/2009,721.4,6.581193768,0.002498266
03/10/2009,719.6,6.578695502,0.061763054
03/09/2009,676.5,6.516932448,-0.010147892
03/06/2009,683.4,6.52708034,0.001317813
03/05/2009,682.5,6.525762527,-0.043578631
03/04/2009,712.9,6.569341158,0.023560556
03/03/2009,696.3,6.545780602,-0.006441938
03/02/2009,700.8,6.55222254,-0.047784005
02/27/2009,735.1,6.600006544,-0.023793044
02/26/2009,752.8,6.623799588,-0.015945518
02/25/2009,764.9,6.639745106,-0.0106633
02/24/2009,773.1,6.650408406,0.039308675
02/23/2009,743.3,6.611099732,-0.035290783
02/20/2009,770,6.646390515,-0.011492153
02/19/2009,778.9,6.657882668,-0.012122907
02/18/2009,788.4,6.670005575,-0.001014199
02/17/2009,789.2,6.671019774,-0.046543054
02/13/2009,826.8,6.717562828,-0.010108389
02/12/2009,835.2,6.727671217,0.001797592
02/11/2009,833.7,6.725873625,0.007827122
02/10/2009,827.2,6.718046504,-0.050331759
02/09/2009,869.9,6.768378263,0.001495542
02/06/2009,868.6,6.76688272,0.026481571
02/05/2009,845.9,6.740401149,0.016328353
02/04/2009,832.2,6.724072797,-0.007541785
02/03/2009,838.5,6.731614581,0.015746464
