Date,Price,Log Price,Log Difference,,,
03/28/2013,"1,569.20",7.36,0.00408685115,,,
03/27/2013,"1,562.80",7.35,-0.00063967251,,,
03/26/2013,"1,563.80",7.35,0.00776765260,,,
03/25/2013,"1,551.70",7.35,-0.00334556061,,,
03/22/2013,"1,556.90",7.35,0.00715508902,,,
03/21/2013,"1,545.80",7.34,-0.00831056482,,,
03/20/2013,"1,558.70",7.35,0.00669458567,,,
03/19/2013,"1,548.30",7.34,-0.00245129783,,,
03/18/2013,"1,552.10",7.35,-0.00552558589,,,
03/15/2013,"1,560.70",7.35,-0.00160056374,,,
03/14/2013,"1,563.20",7.35,0.00558105179,,,
03/13/2013,"1,554.50",7.35,0.00128741569,,,
03/12/2013,"1,552.50",7.35,-0.00238041738,,,
03/11/2013,"1,556.20",7.35,0.00321812725,,,
03/08/2013,"1,551.20",7.35,0.00445809170,,,
03/07/2013,"1,544.30",7.34,0.00181476490,,,
03/06/2013,"1,541.50",7.34,0.00110343048,,,
03/05/2013,"1,539.80",7.34,0.00952698886,,,
03/04/2013,"1,525.20",7.33,0.00460012640,,,
03/01/2013,"1,518.20",7.33,0.00230802305,,,
02/28/2013,"1,514.70",7.32,-0.00085788767,,,
02/27/2013,"1,516.00",7.32,0.01267898428,,,
02/26/2013,"1,496.90",7.31,0.00609778416,,,
02/25/2013,"1,487.80",7.31,-0.01851288139,,,
02/22/2013,"1,515.60",7.32,0.00874757069,,,
02/21/2013,"1,502.40",7.31,-0.00636944829,,,
02/20/2013,"1,512.00",7.32,-0.01242252000,,,
02/19/2013,"1,530.90",7.33,0.00727705050,,,
02/15/2013,"1,519.80",7.33,-0.00105221633,,,
02/14/2013,"1,521.40",7.33,0.00072327978,,,
02/13/2013,"1,520.30",7.33,0.00059216372,,,
02/12/2013,"1,519.40",7.33,0.00158081972,,,
02/11/2013,"1,517.00",7.32,-0.00059310028,,,
02/08/2013,"1,517.90",7.33,0.00561557978,,,
02/07/2013,"1,509.40",7.32,-0.00178719227,,,
02/06/2013,"1,512.10",7.32,0.00052920554,,,
02/05/2013,"1,511.30",7.32,0.01037588291,,,
02/04/2013,"1,495.70",7.31,-0.01163228909,,,
02/01/2013,"1,513.20",7.32,0.01002897524,,,
01/31/2013,"1,498.10",7.31,-0.00259991480,,,
01/30/2013,"1,502.00",7.31,-0.00385408145,,,
01/29/2013,"1,507.80",7.32,0.00505320224,,,
01/28/2013,"1,500.20",7.31,-0.00186467822,,,
01/25/2013,"1,503.00",7.32,0.00547069214,,,
01/24/2013,"1,494.80",7.31,0.00000000000,,,
01/23/2013,"1,494.80",7.31,0.00147285291,,,
01/22/2013,"1,492.60",7.31,0.00443161942,,,
01/18/2013,"1,486.00",7.30,0.00343793523,,,
01/17/2013,"1,480.90",7.30,0.00562046511,,,
01/16/2013,"1,472.60",7.29,0.00020374206,,,
01/15/2013,"1,472.30",7.29,0.00108732597,,,
01/14/2013,"1,470.70",7.29,-0.00088354238,,,
01/11/2013,"1,472.00",7.29,-0.00006793248,,,
01/10/2013,"1,472.10",7.29,0.00756882001,,,
01/09/2013,"1,461.00",7.29,0.00260434662,,,
01/08/2013,"1,457.20",7.28,-0.00322017338,,,
01/07/2013,"1,461.90",7.29,-0.00314164990,,,
01/04/2013,"1,466.50",7.29,0.00485321709,,,
01/03/2013,"1,459.40",7.29,-0.00205352937,,,
01/02/2013,"1,462.40",7.29,0.02506535711,,,
12/31/2012,"1,426.20",7.26,0.01682850999,,,
12/28/2012,"1,402.40",7.25,-0.01113289286,,,
12/27/2012,"1,418.10",7.26,-0.00119806914,,,
12/26/2012,"1,419.80",7.26,-0.00484806852,,,
12/24/2012,"1,426.70",7.26,-0.00245020949,,,
12/21/2012,"1,430.20",7.27,-0.00939496802,,,
12/20/2012,"1,443.70",7.27,0.00548707749,,,
12/19/2012,"1,435.80",7.27,-0.00763203594,,,
12/18/2012,"1,446.80",7.28,0.01140009566,,,
12/17/2012,"1,430.40",7.27,0.01181448341,,,
12/14/2012,"1,413.60",7.25,-0.00416505491,,,
12/13/2012,"1,419.50",7.26,-0.00632024576,,,
12/12/2012,"1,428.50",7.26,0.00049014460,,,
12/11/2012,"1,427.80",7.26,0.00653482282,,,
12/10/2012,"1,418.50",7.26,0.00028202778,,,
12/07/2012,"1,418.10",7.26,0.00296610387,,,
12/06/2012,"1,413.90",7.25,0.00325871640,,,
12/05/2012,"1,409.30",7.25,0.00163334908,,,
12/04/2012,"1,407.00",7.25,-0.00177525344,,,
12/03/2012,"1,409.50",7.25,-0.00474219666,,,
11/30/2012,"1,416.20",7.26,0.00014123296,,,
11/29/2012,"1,416.00",7.26,0.00431721538,,,
11/28/2012,"1,409.90",7.25,0.00783256639,,,
11/27/2012,"1,398.90",7.24,-0.00527592839,,,
11/26/2012,"1,406.30",7.25,-0.00206002559,,,
11/23/2012,"1,409.20",7.25,0.01299925454,,,
11/21/2012,"1,391.00",7.24,0.00230315346,,,
11/20/2012,"1,387.80",7.24,0.00064871880,,,
11/19/2012,"1,386.90",7.23,0.01965987305,,,
11/16/2012,"1,359.90",7.22,0.00486511353,,,
11/15/2012,"1,353.30",7.21,-0.00162433586,,,
11/14/2012,"1,355.50",7.21,-0.01391963867,,,
11/13/2012,"1,374.50",7.23,-0.00399347055,,,
11/12/2012,"1,380.00",7.23,0.00014493804,,,
11/09/2012,"1,379.80",7.23,0.00166829908,,,
11/08/2012,"1,377.50",7.23,-0.01226566604,,,
11/07/2012,"1,394.50",7.24,-0.02401900865,,,
11/06/2012,"1,428.40",7.26,0.00780128355,,,
11/05/2012,"1,417.30",7.26,0.00218965300,,,
11/02/2012,"1,414.20",7.25,-0.00943071245,,,
11/01/2012,"1,427.60",7.26,0.01084594053,,,
10/31/2012,"1,412.20",7.25,0.00021245707,,,
10/26/2012,"1,411.90",7.25,-0.00077878867,,,
10/25/2012,"1,413.00",7.25,0.00297682550,,,
10/24/2012,"1,408.80",7.25,-0.00304759441,,,
10/23/2012,"1,413.10",7.25,-0.01454238983,,,
10/22/2012,"1,433.80",7.27,0.00041855599,,,
10/19/2012,"1,433.20",7.27,-0.01667570211,,,
10/18/2012,"1,457.30",7.28,-0.00246727560,,,
10/17/2012,"1,460.90",7.29,0.00411551442,,,
10/16/2012,"1,454.90",7.28,0.01022461412,,,
10/15/2012,"1,440.10",7.27,0.00801761188,,,
10/12/2012,"1,428.60",7.26,-0.00293562803,,,
10/11/2012,"1,432.80",7.27,0.00013959657,,,
10/10/2012,"1,432.60",7.27,-0.00619326290,,,
10/09/2012,"1,441.50",7.27,-0.00994002800,,,
10/08/2012,"1,455.90",7.28,-0.00342841806,,,
10/05/2012,"1,460.90",7.29,-0.00034219622,,,
10/04/2012,"1,461.40",7.29,0.00714190647,,,
10/03/2012,"1,451.00",7.28,0.00359017232,,,
10/02/2012,"1,445.80",7.28,0.00089956066,,,
10/01/2012,"1,444.50",7.28,0.00263413434,,,
09/28/2012,"1,440.70",7.27,-0.00450154851,,,
09/27/2012,"1,447.20",7.28,0.00965117715,,,
09/26/2012,"1,433.30",7.27,-0.00577412992,,,
09/25/2012,"1,441.60",7.27,-0.01055728281,,,
09/24/2012,"1,456.90",7.28,-0.00226252196,,,
09/21/2012,"1,460.20",7.29,-0.00006848142,,,
09/20/2012,"1,460.30",7.29,-0.00047923870,,,
09/19/2012,"1,461.00",7.29,0.00116426408,,,
09/18/2012,"1,459.30",7.29,-0.00130114725,,,
09/17/2012,"1,461.20",7.29,-0.00314315257,,,
09/14/2012,"1,465.80",7.29,0.00396473279,,,
09/13/2012,"1,460.00",7.29,0.01615722506,,,
09/12/2012,"1,436.60",7.27,0.00209044742,,,
09/11/2012,"1,433.60",7.27,0.00314388773,,,
09/10/2012,"1,429.10",7.26,-0.00613884035,,,
09/07/2012,"1,437.90",7.27,0.00404181735,,,
09/06/2012,"1,432.10",7.27,0.02024403467,,,
09/05/2012,"1,403.40",7.25,-0.00106826204,,,
09/04/2012,"1,404.90",7.25,-0.00120931902,,,
08/31/2012,"1,406.60",7.25,0.00506041492,,,
08/30/2012,"1,399.50",7.24,-0.00782922149,,,
08/29/2012,"1,410.50",7.25,0.00085112424,,,
08/28/2012,"1,409.30",7.25,-0.00078022489,,,
08/27/2012,"1,410.40",7.25,-0.00049618998,,,
08/24/2012,"1,411.10",7.25,0.00639842934,,,
08/23/2012,"1,402.10",7.25,-0.00809778541,,,
08/22/2012,"1,413.50",7.25,0.00021226165,,,
08/21/2012,"1,413.20",7.25,-0.00346131098,,,
08/20/2012,"1,418.10",7.26,-0.00007051440,,,
08/17/2012,"1,418.20",7.26,0.00190563632,,,
08/16/2012,"1,415.50",7.26,0.00708971421,,,
08/15/2012,"1,405.50",7.25,0.00113903337,,,
08/14/2012,"1,403.90",7.25,-0.00014245014,,,
08/13/2012,"1,404.10",7.25,-0.00128113897,,,
08/10/2012,"1,405.90",7.25,0.00220742782,,,
08/09/2012,"1,402.80",7.25,0.00042780749,,,
08/08/2012,"1,402.20",7.25,0.00064205460,,,
08/07/2012,"1,401.30",7.25,0.00507960312,,,
08/06/2012,"1,394.20",7.24,0.00229786113,,,
08/03/2012,"1,391.00",7.24,0.01886848430,,,
08/02/2012,"1,365.00",7.22,-0.00737202711,,,
08/01/2012,"1,375.10",7.23,-0.00304966835,,,
07/31/2012,"1,379.30",7.23,-0.00434059858,,,
07/30/2012,"1,385.30",7.23,-0.00050517809,,,
07/27/2012,"1,386.00",7.23,0.01893720102,,,
07/26/2012,"1,360.00",7.22,0.01638347925,,,
07/25/2012,"1,337.90",7.20,-0.00029893132,,,
07/24/2012,"1,338.30",7.20,-0.00907474243,,,
07/23/2012,"1,350.50",7.21,-0.00899313152,,,
07/20/2012,"1,362.70",7.22,-0.01007601983,,,
07/19/2012,"1,376.50",7.23,0.00269159585,,,
07/18/2012,"1,372.80",7.22,0.00665085587,,,
07/17/2012,"1,363.70",7.22,0.00743388401,,,
